Dual_Attn_1_-1_6
(2.9274637699127197, 1.0578151941299438)
Prepare Data : 8.548205 s
Epoch 25 : Train MSE : 1.505126, Train MAE : 0.855220 , Test MSE : 1.993404 , Test MAE : 0.944821 , Lr : 0.000500 , Time: 96.440159 s .
Epoch 26 : Train MSE : 1.562158, Train MAE : 0.889386 , Test MSE : 2.061247 , Test MAE : 0.979535 , Lr : 0.000500 , Time: 95.406903 s .
Epoch 27 : Train MSE : 1.582013, Train MAE : 0.895136 , Test MSE : 2.061513 , Test MAE : 0.986197 , Lr : 0.000500 , Time: 89.332796 s .
Epoch 28 : Train MSE : 1.505970, Train MAE : 0.859056 , Test MSE : 2.001630 , Test MAE : 0.950084 , Lr : 0.000500 , Time: 90.215973 s .
Epoch 29 : Train MSE : 1.679193, Train MAE : 0.942696 , Test MSE : 2.208655 , Test MAE : 1.038099 , Lr : 0.000500 , Time: 94.438491 s .
Epoch 30 : Train MSE : 1.381806, Train MAE : 0.823038 , Test MSE : 1.926510 , Test MAE : 0.930408 , Lr : 0.000250 , Time: 91.510553 s .
Epoch 31 : Train MSE : 1.377317, Train MAE : 0.827580 , Test MSE : 1.938993 , Test MAE : 0.933791 , Lr : 0.000250 , Time: 94.074866 s .
Epoch 32 : Train MSE : 1.366191, Train MAE : 0.816000 , Test MSE : 1.946199 , Test MAE : 0.926253 , Lr : 0.000250 , Time: 92.057892 s .
Epoch 33 : Train MSE : 1.425863, Train MAE : 0.843955 , Test MSE : 1.999423 , Test MAE : 0.953974 , Lr : 0.000250 , Time: 100.108655 s .
Epoch 34 : Train MSE : 1.370481, Train MAE : 0.819244 , Test MSE : 1.965337 , Test MAE : 0.933404 , Lr : 0.000250 , Time: 90.277207 s .
Epoch 35 : Train MSE : 1.347614, Train MAE : 0.810873 , Test MSE : 1.914349 , Test MAE : 0.918886 , Lr : 0.000250 , Time: 96.248389 s .
Epoch 36 : Train MSE : 1.350447, Train MAE : 0.817241 , Test MSE : 1.926233 , Test MAE : 0.928313 , Lr : 0.000250 , Time: 95.251422 s .
Epoch 37 : Train MSE : 1.338642, Train MAE : 0.809903 , Test MSE : 1.946387 , Test MAE : 0.925329 , Lr : 0.000250 , Time: 90.269564 s .
Epoch 38 : Train MSE : 1.406147, Train MAE : 0.842095 , Test MSE : 2.036713 , Test MAE : 0.960843 , Lr : 0.000250 , Time: 91.218513 s .
Epoch 39 : Train MSE : 1.349788, Train MAE : 0.824313 , Test MSE : 1.932960 , Test MAE : 0.933118 , Lr : 0.000250 , Time: 90.599082 s .
Epoch 40 : Train MSE : 1.325884, Train MAE : 0.807068 , Test MSE : 1.929711 , Test MAE : 0.921981 , Lr : 0.000250 , Time: 92.576166 s .
Epoch 41 : Train MSE : 1.329735, Train MAE : 0.807684 , Test MSE : 1.955524 , Test MAE : 0.926731 , Lr : 0.000250 , Time: 95.687622 s .
Epoch 42 : Train MSE : 1.311128, Train MAE : 0.809466 , Test MSE : 1.926870 , Test MAE : 0.927500 , Lr : 0.000250 , Time: 93.372289 s .
Epoch 43 : Train MSE : 1.334733, Train MAE : 0.817707 , Test MSE : 1.939252 , Test MAE : 0.933218 , Lr : 0.000250 , Time: 94.259797 s .
Epoch 44 : Train MSE : 1.308888, Train MAE : 0.803551 , Test MSE : 1.911186 , Test MAE : 0.915758 , Lr : 0.000250 , Time: 91.430718 s .
Epoch 45 : Train MSE : 1.322413, Train MAE : 0.813933 , Test MSE : 1.938770 , Test MAE : 0.929247 , Lr : 0.000250 , Time: 88.477308 s .
Epoch 46 : Train MSE : 1.307952, Train MAE : 0.806494 , Test MSE : 1.926022 , Test MAE : 0.925869 , Lr : 0.000250 , Time: 101.675823 s .
Epoch 47 : Train MSE : 1.296273, Train MAE : 0.803400 , Test MSE : 1.911353 , Test MAE : 0.923445 , Lr : 0.000250 , Time: 97.763762 s .
Epoch 48 : Train MSE : 1.323776, Train MAE : 0.817265 , Test MSE : 1.935349 , Test MAE : 0.933747 , Lr : 0.000250 , Time: 94.316073 s .
Epoch 49 : Train MSE : 1.331768, Train MAE : 0.821801 , Test MSE : 1.952841 , Test MAE : 0.936896 , Lr : 0.000250 , Time: 92.356498 s .
Epoch 50 : Train MSE : 1.307155, Train MAE : 0.812044 , Test MSE : 1.923923 , Test MAE : 0.930685 , Lr : 0.000250 , Time: 89.968001 s .
Epoch 51 : Train MSE : 1.325125, Train MAE : 0.822169 , Test MSE : 1.952839 , Test MAE : 0.936421 , Lr : 0.000250 , Time: 90.578339 s .
Epoch 52 : Train MSE : 1.300319, Train MAE : 0.807012 , Test MSE : 1.936499 , Test MAE : 0.927878 , Lr : 0.000250 , Time: 92.033273 s .
Epoch 53 : Train MSE : 1.309428, Train MAE : 0.810077 , Test MSE : 1.938275 , Test MAE : 0.930906 , Lr : 0.000250 , Time: 90.105292 s .
Epoch 54 : Train MSE : 1.276031, Train MAE : 0.800169 , Test MSE : 1.923111 , Test MAE : 0.923278 , Lr : 0.000250 , Time: 100.746964 s .
Epoch 55 : Train MSE : 1.323570, Train MAE : 0.826869 , Test MSE : 1.946149 , Test MAE : 0.944386 , Lr : 0.000250 , Time: 93.662082 s .
Epoch 56 : Train MSE : 1.326254, Train MAE : 0.823980 , Test MSE : 1.964751 , Test MAE : 0.944247 , Lr : 0.000250 , Time: 89.056700 s .
Epoch 57 : Train MSE : 1.290069, Train MAE : 0.806815 , Test MSE : 1.927487 , Test MAE : 0.928309 , Lr : 0.000250 , Time: 93.697657 s .
Epoch 58 : Train MSE : 1.311255, Train MAE : 0.815663 , Test MSE : 1.958925 , Test MAE : 0.937957 , Lr : 0.000250 , Time: 88.664062 s .
Epoch 59 : Train MSE : 1.310923, Train MAE : 0.811114 , Test MSE : 1.932036 , Test MAE : 0.926570 , Lr : 0.000250 , Time: 91.248528 s .
Epoch 60 : Train MSE : 1.252478, Train MAE : 0.792276 , Test MSE : 1.896281 , Test MAE : 0.918567 , Lr : 0.000250 , Time: 101.273036 s .
Epoch 61 : Train MSE : 1.287331, Train MAE : 0.805092 , Test MSE : 1.923696 , Test MAE : 0.926988 , Lr : 0.000250 , Time: 88.416843 s .
Epoch 62 : Train MSE : 1.282310, Train MAE : 0.808600 , Test MSE : 1.961940 , Test MAE : 0.940017 , Lr : 0.000250 , Time: 92.437128 s .
Epoch 63 : Train MSE : 1.275613, Train MAE : 0.807885 , Test MSE : 1.944274 , Test MAE : 0.940158 , Lr : 0.000250 , Time: 89.953185 s .
Epoch 64 : Train MSE : 1.242585, Train MAE : 0.788558 , Test MSE : 1.907440 , Test MAE : 0.917210 , Lr : 0.000250 , Time: 90.563679 s .
Epoch 65 : Train MSE : 1.255681, Train MAE : 0.796695 , Test MSE : 1.923924 , Test MAE : 0.928044 , Lr : 0.000250 , Time: 93.825459 s .
Epoch 66 : Train MSE : 1.287485, Train MAE : 0.812743 , Test MSE : 1.956715 , Test MAE : 0.936935 , Lr : 0.000250 , Time: 95.916248 s .
